End Date,USD/TZS,USD/KES,USD/UGX,USD/RWF,USD/GHS
9/25/16,"2,137.64",99.5387,"3,343.08",780.576,3.96265
9/18/16,"2,140.06",99.4712,"3,346.60",778.795,3.92861
9/11/16,"2,140.19",100.028,"3,343.41",767.925,3.9456
9/4/16,"2,142.73",99.5614,"3,338.88",797.859,3.94228
8/28/16,"2,149.23",99.9139,"3,340.94",770.833,3.94397
8/21/16,"2,141.06",99.6253,"3,327.76",760.458,3.92757
8/14/16,"2,141.82",99.6742,"3,332.20",781.904,3.92081
8/7/16,"2,146.26",99.6872,"3,339.28",759.562,3.94368
7/31/16,"2,146.48",99.6574,"3,340.70",765.218,3.93026
7/24/16,"2,147.66",99.7939,"3,332.64",760.009,3.93093
7/17/16,"2,151.72",99.5592,"3,341.66",758.172,3.94653
7/10/16,"2,152.22",99.4589,"3,358.02",736.351,3.9357
7/3/16,"2,145.31",99.3968,"3,366.25",734.615,3.92739
6/26/16,"2,151.31",99.351,"3,330.20",761.47,3.91226
6/19/16,"2,147.49",99.4913,"3,309.37",746.215,3.88432
6/12/16,"2,143.79",99.3252,"3,306.71",736.806,3.8578
6/5/16,"2,153.23",99.2005,"3,332.31",742.697,3.84878
5/29/16,"2,145.93",99.1929,"3,335.07",742.237,3.83273
5/22/16,"2,152.39",99.1291,"3,312.34",755.218,3.81995
5/15/16,"2,151.49",98.8854,"3,291.99",745.319,3.81006
5/8/16,"2,146.11",98.9165,"3,290.15",737.039,3.79253
5/1/16,"2,155.40",99.5968,"3,294.95",745.124,3.78738
4/24/16,"2,151.16",99.4353,"3,281.36",754.763,3.82193
4/17/16,"2,149.60",99.4191,"3,309.98",739.844,3.81294
4/10/16,"2,142.30",99.9607,"3,317.65",737.688,3.8173
4/3/16,"2,146.58",99.982,"3,333.18",735.005,3.82232
3/27/16,"2,141.99",99.8612,"3,333.11",736.48,3.83412
3/20/16,"2,139.28",99.7495,"3,323.82",746.667,3.83353
3/13/16,"2,142.18",99.6988,"3,317.92",747.835,3.82952
3/6/16,"2,141.78",99.7816,"3,313.75",739.983,3.86827
2/28/16,"2,149.72",100.335,"3,353.58",740.578,3.9028
2/21/16,"2,148.94",100.05,"3,393.60",737.77,3.94075
2/14/16,"2,144.59",100.281,"3,410.03",739.487,3.96113
2/7/16,"2,136.71",100.871,"3,431.77",735.789,3.98042
1/31/16,"2,149.68",100.832,"3,439.86",739.033,3.97193
1/24/16,"2,142.71",100.569,"3,434.84",738.01,3.95534
1/17/16,"2,137.56",100.684,"3,422.27",735.596,3.87307
1/10/16,"2,134.35",100.433,"3,358.48",733.401,3.80055
1/3/16,"2,117.70",100.699,"3,348.31",735.975,3.80375
12/27/15,"2,094.42",100.549,"3,309.91",735.452,3.79305
12/20/15,"2,111.12",100.486,"3,372.74",737.646,3.79754
12/13/15,"2,125.17",100.322,"3,319.44",737.616,3.79724
12/6/15,"2,109.38",100.339,"3,277.75",731.344,3.77584
11/29/15,"2,124.45",100.239,"3,330.00",733.327,3.78661
11/22/15,"2,116.91",100.47,"3,351.86",730.334,3.78899
11/15/15,"2,116.26",100.539,"3,439.85",734.935,3.79294
11/8/15,"2,128.72",100.274,"3,440.09",736.483,3.8059
11/1/15,"2,140.52",100.298,"3,530.17",737.973,3.8004
10/25/15,"2,159.29",100.407,"3,593.76",719.318,3.79558
10/18/15,"2,142.25",101.501,"3,628.28",698.873,3.79623
10/11/15,"2,133.62",101.541,"3,648.15",696.297,3.74569
10/4/15,"2,117.10",103.461,"3,643.20",691.834,3.72427
9/27/15,"2,125.46",104.319,"3,629.57",690.354,3.83552
9/20/15,"2,128.31",103.948,"3,616.80",682.88,3.92963
9/13/15,"2,118.80",104.201,"3,623.94",690.727,3.88843
9/6/15,"2,104.39",102.989,"3,635.92",679.022,3.83115
8/30/15,"2,094.49",102.028,"3,544.29",677.676,4.18099
8/23/15,"2,083.65",101.467,"3,530.48",679.524,4.16187
8/16/15,"2,074.42",99.8689,"3,503.96",708.023,3.93399
8/9/15,"2,065.55",99.4493,"3,451.93",692.793,3.75042
8/2/15,"2,060.66",100.296,"3,364.39",698.805,3.61194
7/26/15,"2,065.64",99.7158,"3,275.42",715.111,3.31363
